rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
238위,킨,트위치로고스탠다드후드집업그레이,"79,000원","55,300원",1,752,-
239위,리,유니섹스세미와이드밴딩슬랙스그레이,"54,000원","33,900원",0,15,-
240위,후러브스아트,여성트위스트셔츠-블랙/W221SH400LF445999,"761,000원","350,000원",0,87,새벽배송 예정
241위,르메르,HorseshoeBuckleHolsterBag,"189,000원",-,1,999,-
242위,이우가마카라스,[10PACK]1507모노트라우져하프삭스_화이트/스노우화이트/블랙,"24,000원","13,900원",1,50,-
243위,일오공칠,스티즈051로우,"129,000원","99,000원",1,131,-
244위,플랙,[에스파닝닝착용]청키라이너(CHUNKYLINER)NY(White),"139,000원",-,0,143,-
245위,엠엘비,빅트위치로고티셔츠블랙,"35,000원",-,1,110,-
246위,리,마티백12크링클드-버터,"119,000원","113,050원",1,330,-
247위,파인드카푸어,TripleCoveredCrowBuckleBag,"188,000원",-,-,-,-
248위,이우가마카라스,[패키지]BASICHALFPANTS(13COLOR)[LRQMCPH701M],"56,000원","35,000원",1,114,-
249위,그루브라임,[패키지]로버스트헤비오버핏반팔티셔츠MST127/8colorset,"71,600원","39,500원",0,33,-
250위,미니멀프로젝트,척70클래식블랙162050C,"99,000원",-,0,192,-
251위,컨버스,아스티어W(검솔)-베이지/GV9200,"109,000원",-,1,373,-
252위,아디다스,젤-1090-미드그레이:블랙/1203A159-020,"99,000원",-,1,147,-
253위,아식스,슈퍼스타-블랙:화이트/EG4959,"109,000원",-,1,999,-
254위,아디다스,오버핏옥스포드반팔셔츠_SPYWC25C30,"29,900원","26,910원",1,35,-
255위,스파오,와이드밴딩치노팬츠[BEIGE],"66,000원","59,400원",0,82,5/6배송 예정
256위,드로우핏,DSN-LogoTeeWhite,"45,000원",-,1,70,-
257위,디스이즈네버댓,다이애그널14KGold여성커플링LRW20C19G,"179,000원",-,1,999,-
258위,로이드,Knottedsandal(Deepsleep)_OK2AM22005BLK,"179,000원",-,0,115,-
259위,아카이브앱크,[2PACK]7.5oz헤비웨이트무지오버핏레이어드반팔티,"70,000원","34,900원",1,639,-
260위,샤카웨어,51006HISHITOMOCOLLECTIONBLACKJEANS[RELAXSTRAIGHT],"103,000원","97,850원",1,75,-
261위,브랜디드,T-LogoTeeWhite,"45,000원",-,0,98,-
262위,디스이즈네버댓,남성부키시볼캡-블랙/OMLB022F21FAB0011001,"313,000원","179,000원",1,999,새벽배송 예정
263위,오프 화이트,리젠트핏린넨솔리드롱슬리브스포츠셔츠(화이트)(34987914),"179,000원",-,1,999,-
264위,브룩스 브라더스,[2PACK]유니섹스365반팔티세트,"66,000원","46,400원",1,410,-
265위,수아레,크롭블루종자켓_블루,"205,000원","179,000원",1,999,-
266위,오오엠스튜디오,Signaturecrophoodzip-up-BLACK,"74,000원",-,1,419,-
267위,우알롱,알파바운스슬라이드-화이트:블랙/FX1326,"59,000원","49,900원",0,87,-
268위,아디다스,글러브백오프화이트,"238,000원",-,0,102,-
269위,아포아,TWOBUCKLEMESSENGERBAG,"109,000원","91,900원",1,999,5/13배송 예정
270위,메종미네드,[쿨탠다드]슬림크롭데님팬츠[라이트인디고],"41,900원",-,0,60,-
271위,마샬,메이저4(majoriv)블루투스헤드폰,"229,900원",-,0,102,-
272위,무신사 스탠다드,[쿨탠다드]릴렉스핏크루넥반팔티셔츠[블랙],"16,900원",-,1,46,-
273위,칼하트,포켓반팔티K87남여공용기본티반팔모음,"49,900원","29,900원",0,81,-
274위,에잇세컨즈,블랙20mm리얼레더웨스턴슬림벨트(292182WYA5),"29,900원",-,1,46,-
275위,아식스,조그100SSMU-글래시어그레이:퓨어실버/1201A773-021,"69,000원",-,0,115,-
276위,무신사 스탠다드,우먼즈베이식크루넥반팔티셔츠[화이트],"12,900원",-,0,86,-
277위,그루브라임,[패키지]10THANNIVERSARY3PACKT-SHIRTSEDITION,"75,000원","39,000원",1,999,-
278위,세븐셀라,SS미니멀스탠다드카고조거슬랙스,"89,000원","45,300원",0,73,-
279위,라퍼지스토어,시티보이빅오버워싱데님셔츠_Black,"63,000원","49,000원",0,8,-
280위,엘무드,화란세미오버가디건블랙,"94,900원","85,410원",1,263,-
281위,라퍼지스토어,테이퍼드와이드원턱린넨팬츠_Black,"36,000원","29,800원",0,75,-
282위,호카오네오네,맨즈본디7레귤러1110518-BBLC,"379,000원","229,000원",0,105,-
283위,모아,소소린넨팬츠셋업(BLACK),"242,000원","169,000원",1,999,-
